StudentID,Name,Math,Science,English,History,AttendanceRate,StudyHours,ParticipationScore
1001,Student_1,78,53,46,72,93.96893641976712,4.001943185316763,85.1424717662608
1002,Student_2,91,62,98,48,86.30451569201374,6.393813317648964,87.4947426235509
1003,Student_3,68,99,90,99,82.73234413341886,7.716767381600499,87.37708856767324
1004,Student_4,54,96,61,98,63.7469907131237,7.28157901374185,45.47236618292142
1005,Student_5,82,79,67,45,74.70863212237734,4.239471175567543,69.66521828215488
1006,Student_6,47,60,41,55,70.60809470726902,9.638922245305553,43.45352560099866
1007,Student_7,60,55,81,68,69.75958573516334,7.903175333566148,72.97173293942413
1008,Student_8,78,84,84,42,98.92042219009782,6.4348324200912055,66.49183008240263
1009,Student_9,97,57,96,59,75.72390898667041,6.893765969874818,93.26225096549798
1010,Student_10,58,86,92,99,95.68186220708454,5.356800499422319,61.05490075312472
1011,Student_11,62,92,45,98,85.24554503989052,3.9818479160092597,47.02402098565635
1012,Student_12,50,63,67,75,91.79245214166593,4.847781429210093,48.57950092317015
1013,Student_13,50,65,67,58,80.10548372420769,8.062768883714952,85.69063790304833
1014,Student_14,63,64,83,65,83.07615538505436,2.115147909038047,77.09308379897567
1015,Student_15,92,99,83,42,79.70070775275455,2.92858112405533,46.067360567367416
1016,Student_16,75,99,59,58,67.80971951192178,2.368021136174022,45.04640836689985
1017,Student_17,79,99,69,59,88.89808461046022,2.325830418551761,82.0581478875472
1018,Student_18,63,84,50,71,71.23089449763424,8.843684672088058,44.365780381851614
1019,Student_19,42,80,97,46,60.97263865725815,7.629262875040189,89.31160355742136
1020,Student_20,61,68,94,91,85.81889183628671,5.7933906326986016,82.37453362938977
1021,Student_21,92,54,67,80,67.08442717628196,2.782673285208012,44.880926838513986
1022,Student_22,41,84,64,72,97.61834337411656,5.932927000934659,45.09026284511152
1023,Student_23,63,40,78,79,98.1571430801035,5.7877741662445255,99.19837471007052
1024,Student_24,83,64,72,78,96.59457560881793,3.3856149592801215,62.45624774536722
1025,Student_25,69,46,40,57,74.80634801021777,5.470813193903784,62.23852882401346
1026,Student_26,77,48,96,79,60.6182646611547,5.1880378751789875,88.76797403545015
1027,Student_27,41,63,66,40,97.13274250350901,6.926800784417732,96.83491464303152
1028,Student_28,99,40,96,50,77.12736593269257,7.08074920694115,99.16006382937226
1029,Student_29,60,83,91,67,98.66619276174679,2.362432078176356,85.2026911155365
1030,Student_30,72,47,52,96,98.54479908357011,4.99690091701177,62.57557513185495
1031,Student_31,51,63,80,64,94.12037821869441,7.006879325713891,45.010043001920124
1032,Student_32,97,50,42,89,71.77795568278343,6.025090068640702,86.6288149556462
1033,Student_33,61,90,78,62,75.403909144077,8.851918729506579,73.5042549841483
1034,Student_34,83,56,45,70,94.04546686067428,7.26954905295156,65.45332055481857
1035,Student_35,64,47,47,69,72.6768802062511,3.3034754166514375,94.38126310568416
1036,Student_36,88,74,66,81,66.7797098674437,2.5645499792034387,46.67184893836908
1037,Student_37,66,74,48,74,82.27205049833401,7.139354225650525,69.55750625745155
1038,Student_38,98,72,76,46,97.44619096643123,2.2120904843329745,40.68121868604514
1039,Student_39,81,98,72,99,87.84119186699891,6.686204650187706,68.11963851964758
1040,Student_40,67,44,90,55,82.8024468035746,9.52184193139966,43.37819654091024
1041,Student_41,99,81,81,65,63.887059750830744,6.603793423007032,47.12907497608431
1042,Student_42,55,78,83,87,84.6002890679668,5.105359409652175,47.05157480662629
1043,Student_43,54,97,63,96,99.60215400417053,7.146305747538825,78.95261812696381
1044,Student_44,86,80,54,91,65.60336060946096,5.666023123932133,84.7626927559254
1045,Student_45,90,67,98,99,80.73318609454947,6.3649343145274795,75.00212590582959
1046,Student_46,83,46,93,88,95.09492287711822,9.531718470212201,97.73035290847253
1047,Student_47,94,48,71,41,89.63074471016817,5.088821102406194,62.49223477142225
1048,Student_48,91,47,71,40,87.88062963981072,9.689524510591314,57.14272517691164
1049,Student_49,96,51,63,87,88.09936335948437,9.24280513564851,92.11594769136761
1050,Student_50,42,73,80,51,74.3796460487902,3.5663290783143715,53.41575031116716
1051,Student_51,76,72,91,44,71.74367377057973,2.5548904070013236,97.79335236643668
1052,Student_52,90,87,88,76,92.37444621914054,2.806224011019413,40.72926848138898
1053,Student_53,46,94,88,71,92.40453578716723,2.145774605212398,98.19272960245834
1054,Student_54,60,62,97,98,94.68289274320415,2.755543686047427,42.589594717034565
1055,Student_55,48,63,91,94,96.52962210225886,7.464054187330855,93.46858682188426
1056,Student_56,78,76,51,48,80.4536959544375,2.569509187681832,71.66206654517799
1057,Student_57,57,74,78,80,80.06065178748798,4.55180504235009,99.57788776715802
1058,Student_58,43,83,41,74,91.931807158671,8.759002487755637,44.42779388412393
1059,Student_59,64,79,42,58,85.99855723111061,2.186175485886607,73.23125706407924
1060,Student_60,99,61,88,87,88.07867509030814,8.515747860711485,98.15815213714595
1061,Student_61,53,66,76,55,91.83170677744404,4.254838198187199,71.38587065020893
1062,Student_62,89,74,88,42,95.60021367270265,2.94531862097325,77.76391828811575
1063,Student_63,97,40,95,59,73.51980627406144,7.573897322913205,81.74492133907702
1064,Student_64,48,74,56,63,75.02331810559775,7.031542774239072,67.27246388606639
1065,Student_65,65,76,98,93,63.75927759363476,9.019776108216423,77.6534848050438
1066,Student_66,92,86,88,95,83.13120563984697,7.880568350431086,75.05885871538601
1067,Student_67,41,53,41,72,61.43769095186968,8.42784744307879,94.06948062945935
1068,Student_68,59,42,41,63,78.6239207252984,4.256276580570452,42.72678282048747
1069,Student_69,67,40,67,91,81.70578538830307,3.4195163502377826,56.85779137553382
1070,Student_70,86,44,93,50,71.46165008513138,8.004918013126867,97.02468904459352
1071,Student_71,99,65,62,88,83.63333042276042,8.454677914138113,93.41582703345497
1072,Student_72,46,94,76,47,61.220009997561974,9.924041136005386,67.33940516714277
1073,Student_73,83,53,71,75,61.493927549968575,5.300941415291412,77.2079558680922
1074,Student_74,47,78,72,77,92.90402242638633,4.976144686342265,56.64287097886796
1075,Student_75,86,66,40,79,74.40762565645052,8.211303685935974,51.28726958342568
1076,Student_76,74,48,58,59,65.0824205060754,4.726428322024143,67.82190429639893
1077,Student_77,53,54,41,74,80.88973040219217,9.446058604828519,61.20113368156317
1078,Student_78,56,54,92,87,90.79974212394444,8.867302014744094,75.01936671105233
1079,Student_79,75,65,83,64,68.63284109987373,5.431952219000147,44.66407821789909
1080,Student_80,89,81,65,74,84.91561903276,8.006968542331979,98.46368845996999
1081,Student_81,79,99,71,64,63.41389859975072,8.036342992677458,99.17264466877617
1082,Student_82,43,52,45,68,62.067268846744305,2.824990950687461,81.88970284118471
1083,Student_83,41,90,71,57,81.25418526272591,9.220423253436532,72.16578198064722
1084,Student_84,45,71,94,85,81.62540486440426,6.042018979582857,58.571656977179664
1085,Student_85,93,78,43,57,85.49719605992826,8.611659728861934,88.82770118241692
